,Gaia ID,MAIN_ID,Distance,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,Diameter_diameter,Diameter_Q,Diameter_unit,Diameter_error,Diameter_filter,Diameter_method,Diameter_bibcode,Fe_H_Teff,Fe_H_log_g,Fe_H_Fe_H,Fe_H_flag,Fe_H_CompStar,Fe_H_CatNo,Fe_H_bibcode,FLUX_U,FLUX_BIBCODE_U,FLUX_ERROR_U,FLUX_SYSTEM_U,FLUX_UNIT_U,FLUX_B,FLUX_BIBCODE_B,FLUX_ERROR_B,FLUX_SYSTEM_B,FLUX_UNIT_B,FLUX_V,FLUX_BIBCODE_V,FLUX_ERROR_V,FLUX_SYSTEM_V,FLUX_UNIT_V,FLUX_J,FLUX_BIBCODE_J,FLUX_ERROR_J,FLUX_SYSTEM_J,FLUX_UNIT_J,FLUX_H,FLUX_BIBCODE_H,FLUX_ERROR_H,FLUX_SYSTEM_H,FLUX_UNIT_H,FLUX_K,FLUX_BIBCODE_K,FLUX_ERROR_K,FLUX_SYSTEM_K,FLUX_UNIT_K,IDS,MEMBERSHIP,OTYPE,OTYPE_opt,PLX_VALUE,PLX_BIBCODE,ROT_upVsini,ROT_Vsini,ROT_err,ROT_mes,ROT_qual,ROT_bibcode,RV_VALUE,SP_TYPE,SP_QUAL,SP_BIBCODE,SCRIPT_NUMBER_ID,sci_targname
167,DENIS-J104814.6-395606,DENIS J104814.6-395606,4.045052173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DENIS-J104814.6-395606
102,BD+44-2051,BD+44  2051,4.904663158,11 05 28.5769,+43 31 36.386,14,14,0.024700001,0.0244,90,A,O,2020yCat.1350....0G,600000,,km,20900,V,FundStP,2010MNRAS.407.1657H,3625,,-0.50999999,,SUN,,2022A&A...658A.194P,11.43999958,1991A&AS...89..415O,0.01,Vega,U,10.27000046,1991A&AS...89..415O,0.007,Vega,B,,,,,,5.538000107,2003yCat.2246....0C,0.018999999,Vega,J,5.001999855,2003yCat.2246....0C,0.021,Vega,H,4.769000053,2003yCat.2246....0C,0.02,Vega,K,LHS    38|** VBS   18A|AC2000 1463341|AG+43 1004|AGKR  9948|AKARI-IRC-V1 J1105259+433142|AP J11052903+4331357|ASCC  407596|BD+44  2051A|BD+44  2051|CCDM J11055+4332A|Ci 20  606|Ci 18 1349|CSI+44  2051  1|FK5 4979|Furuhjelm    I-650|GC 15252|GCRV  6831|GEN# +0.04402051A|G 176-11|GJ 412 A|GSC 03012-02528|HIC  54211|HIP 54211|IRAS F11029+4346|IRAS 11027+4347|JP11   178|JP11   179|JP11   177|Karmn J11054+435|LAL 21258|LFT  757|LSPM J1105+4331W|LTT 12976|2MASS J11052903+4331357|MCC 35|NLTT 26245|8pc 206.94A|PLX 2582|PM J11054+4331|PPM  52239|SAO  43609|StKM 2-698|TIC 252803603|TYC 3012-2528-1|UBV   10126|UBV M   3351|UCAC2  46827681|UCAC4 668-057562|USNO-B1.0 1335-00220263|WDS J11055+4332A|WEB  9800|WISEA J110524.36+433146.2|WISE J110524.38+433146.2|Zkh 150|[RHG95]  1723|[ZEH2003] RX J1105.5+4331  1|Gaia DR3 778947814402602752|Gaia DR2 778947814402405120,[],HighPM*,PM*,203.8876,2020yCat.1350....0G,,5.867000103,,0,,2021A&A...649A.147S,68.84,M1.0V,C,2013AJ....145..102L,1,BD+44-2051
103,BD+44-2051B,BD+44  2051B,4.9059938,11 05 30.8855,+43 31 17.885,14,14,0.034000002,0.037300002,90,A,O,2020yCat.1350....0G,,,,,,,,5378,2.282000065,-0.287999988,,SUN,,2019ApJ...879...69T,,,,,,16.45000076,,,Vega,B,14.44999981,2009ApJ...704..975J,,Vega,V,8.741999626,2003yCat.2246....0C,0.026000001,Vega,J,8.177000046,2003yCat.2246....0C,0.024,Vega,H,7.839000225,2003yCat.2246....0C,0.026000001,Vega,K,BD+44  2051B|** VBS   18B|AKARI-IRC-V1 J1105281+433123|CCDM J11055+4332B|CSI+44  2051  2|1E 1103.0+4346|2E  2394|2E 1102.8+4347|GEN# +0.04402051B|G 176-12|GJ 412 B|JP11   180|JP11   181|Karmn J11055+435|LFT  758|LHS    39|LSPM J1105+4331E|LTT 12977|2MASS J11053133+4331170|NAME PM I11055+4331|NLTT 26247|8pc 206.94B|PM 11030+4347|PM J11055+4331|RX J1105.5+4331|1RXS J110534.5+433120|TIC 252803606|UCAC2  46827683|USNO-B1.0 1335-00220269|USNO 719|V* WX UMa|WDS J11055+4332B|WISEA J110526.65+433128.1|WISE J110526.74+433128.0|Zkh 151|[GKL99] 234|[RHG95]  1724|[ZEH2003] RX J1105.5+4331  2|Gaia DR3 778947608243864320|Gaia DR2 778947608243864320,[],Eruptive*,Er*,203.8323,2020yCat.1350....0G,,4.940000057,0.779999971,0,,2023AJ....166....4H,70.02,M6.0V,C,2015A&A...577A.128A,1,BD+44-2051B
211,GJ3323,LP  656-38,5.374997447,05 01 57.4261,-06 56 46.376,14,14,0.0196,0.0147,90,A,O,2020yCat.1350....0G,,,,,,,,3296,,-0.079999998,,SUN,,2021A&A...656A.162M,,,,,,13.92000008,2012yCat.1322....0Z,0.029999999,Vega,B,12.1960001,2012AcA....62...67K,0.078000002,Vega,V,7.617000103,2003yCat.2246....0C,0.032000002,Vega,J,7.065000057,2003yCat.2246....0C,0.046,Vega,H,6.736000061,2003yCat.2246....0C,0.024,Vega,K,UCAC3 167-17522|ASAS J050157-0656.6|GJ 3323|Karmn J05019-069|LHS  1723|LP  656-38|2MASS J05015746-0656459|NLTT 14393|8pc 163.00|PM J05019-0656|RAVE J050157.5-065646|1RXS J050157.6-065641|TIC 471012347|TIC 43605290|UCAC4 416-007809|WISEA J050157.03-065651.8|[RHG95]   855|Gaia DR3 3187115498866675456|Gaia DR2 3187115498866675456,[],Eruptive*,Er*,186.0466,2020yCat.1350....0G,,3.799999952,1.299999952,0,,2018MNRAS.475.1960F,42.49,M4.0Ve,C,2015AJ....149..106D,1,GJ3323
703,LSR-J1835+3259,LSR J1835+3259,5.688508644,18 35 37.8801,+32 59 53.316,14,14,0.035999998,0.042300001,90,A,O,2020yCat.1350....0G,,,,,,,,2400,5,,,,,2018A&A...620A.180R,,,,,,20,2003AJ....125..984M,,Vega,B,,,,,,10.27000046,2003yCat.2246....0C,0.022,Vega,J,9.616999626,2003yCat.2246....0C,0.021,Vega,H,9.170999527,2003yCat.2246....0C,0.017999999,Vega,K,2MASS J18353790+3259545|Karmn J18356+329|LSPM J1835+3259|LSR J1835+3259|2MASSI J1835379+325954|2MUCD 11792|TIC 27858644|USNO-B1.0 1229-00376318|WISEA J183537.82+325945.4|[B2006] J183537.9+325955|Gaia DR3 2091177593123254016|Gaia DR2 2091177593123254016,[],HighPM*,PM*,175.793,2020yCat.1350....0G,,49.20000076,4.900000095,0,,2018A&A...612A..49R,8.4,M8.5V,C,2012AJ....144...99D,1,LSR-J1835+3259
208,GJ205,HD  36395,5.7040803,05 31 27.3957,-03 40 38.024,14,14,0.0134,0.011,90,A,O,2020yCat.1350....0G,1060000,,km,36200,V,FundStP,2010MNRAS.407.1657H,3572,,0.039999999,,SUN,,2022A&A...658A.194P,10.6260004,2010MNRAS.403.1949K,,Vega,U,9.44299984,2010MNRAS.403.1949K,,Vega,B,7.967999935,2010MNRAS.403.1949K,,Vega,V,4.829999924,2002yCat.2237....0D,,Vega,J,4.050000191,2002yCat.2237....0D,,Vega,H,3.900000095,2002yCat.2237....0D,,Vega,K,LHS    30|AP J05312734-0340356|BD-03  1123|CCDM J05314-0341A|Ci 20  334|CSI-03  1123  1|CSV   6182|DO  1150|2EUVE J0531-03.6|EUVE J0531-03.6|GC  6836|GCRV  3349|GEN# +1.00036395|G  99-15|GJ 205|GSC 04770-00574|HD  36395|HIC  25878|HIP 25878|IDS 05264-0341 A|IRAS 05289-0342|JP11  1127|Karmn J05314-036|LFT  416|LPM 216|LTT  2293|2MASS J05312734-0340356|MCC 9|NLTT 15215|NSV  2075|8pc 175.72|PLX 1255|PLX 1255.00|PM 05289-0341|PM J05314-0340|PPM 188143|1RXS J053127.0-034013|SAO 132211|SKY#  8855|StKM 2-412|SV* WR    69|TIC 50726077|TYC 4770-574-1|UBV    5309|UCAC4 432-009930|UGP 117|USNO 812|uvby98 100036395|VVO 242|WDS J05314-0336A|WEB  5024|WISEA J053127.91-034059.8|Wolf 1453|YZC 17  1611|YZ  93  1611|Zkh  71|[KSP2003] J053127.17-034032.6|[RHG95]   930|[SLO58] 19|Gaia DR3 3209938366665770752|Gaia DR1 3209938366665770752|Gaia DR2 3209938366665770752,[],HighPM*,PM*,175.3131,2020yCat.1350....0G,,2.971999884,,0,,2021A&A...649A.147S,8.56,M1.5Ve,B,1989ApJS...71..245K,1,GJ205
213,GJ588,CD-40  9712,5.917282311,15 32 12.9323,-41 16 32.130,14,14,0.021400001,0.0164,90,A,O,2020yCat.1350....0G,,,,,,,,3525,4.760000229,0.100000001,,SUN,,2020A&A...644A..68M,11.91800022,2010MNRAS.403.1949K,,Vega,U,10.81499958,2010MNRAS.403.1949K,,Vega,B,9.31099987,2010MNRAS.403.1949K,,Vega,V,5.646999836,2003yCat.2246....0C,0.021,Vega,J,5.025000095,2003yCat.2246....0C,0.024,Vega,H,4.758999825,2003yCat.2246....0C,0.024,Vega,K,LHS   397|CD-40  9712|CF 13312|Ci 20  934|CPD-40  7021|GEN# -0.04009712|GJ 588|HIC  76074|HIP 76074|IRAS 15288-4106|LFT 1208|LTT  6210|2MASS J15321302-4116314|NLTT 40449|NSV  7119|PLX 3501|PLX 3501.00|PM J15322-4116|PM 15290-4105|RX J1532.2-4116|1RXS J153212.5-411640|TIC 149590989|TYC 7844-1976-1|UBV M   6108|WISEA J153211.87-411642.7|Zkh 218|[KWS97] Non-TTS  7|[RHG95]  2446|Gaia DR3 6002807341299977216|Gaia DR2 6002807341299977216,[],HighPM*,PM*,168.9965,2020yCat.1350....0G,,2.400000095,1,0,,2020A&A...639A..35H,21.459,M2.5V,C,1983SAAOC...7..106W,1,GJ588
1032,VB-10,VB 10,5.918781299,19 16 57.6109,+05 09 01.600,14,14,0.058600001,0.0568,90,A,O,2020yCat.1350....0G,,,,,,,,4008,,0.370000005,,SUN,,2019ApJ...878..134K,,,,,,,,,,,17.29999924,2009ApJ...704..975J,,Vega,V,9.907999992,2003yCat.2246....0C,0.025,Vega,J,9.225999832,2003yCat.2246....0C,0.026000001,Vega,H,8.765000343,2003yCat.2246....0C,0.022,Vega,K,2MASS J19165762+0509021|** LDS 6334B|CCDM J19169+0510B|CSI+04  4048  2|CSV 102917|GEN# +1.00180617B|GJ 752 B|Karmn J19169+051S|LFT 1467|LHS   474|LSPM J1916+0509|LTT 15646|NLTT 47621|8pc 170.26B|TIC 176178205|UBV   16317|USNO-B1.0 0951-00432259|USNO 885|V* V1298 Aql|VB 10|WDS J19169+0510B|WISEA J191657.19+050847.2|WISE J191657.20+050847.6|Zkh 289|[B2006] J191657.6+050902|[GKL99] 370|[RHG95]  3038|Gaia DR3 4293315765165489536|Gaia DR2 4293315765165489536,[],Eruptive*,Er*,168.9537,2020yCat.1350....0G,,5.860000134,0.779999971,0,,2023AJ....166....4H,36.7,M8V,B,1991ApJS...77..417K,1,VB-10
210,GJ285,V* YZ CMi,5.98885235,07 44 40.1723,+03 33 08.875,14,14,0.030200001,0.0233,90,A,O,2020yCat.1350....0G,,,,,,,,3301,4.90500021,0.125,,Sun,,2021ApJS..255....8R,13.76099968,2010MNRAS.403.1949K,,Vega,U,12.83100033,2010MNRAS.403.1949K,,Vega,B,11.22500038,2010MNRAS.403.1949K,,Vega,V,6.580999851,2003yCat.2246....0C,0.024,Vega,J,6.005000114,2003yCat.2246....0C,0.037999999,Vega,H,5.697999954,2003yCat.2246....0C,0.017000001,Vega,K,HIP 37766|** LAF   36A|AP J07444018+0333089|ASCC 1124230|1AXG J074442+0333|CSI+03-07421|2E  1871|2E 0742.0+0340|1ES 0742+03.6|2EUVE J0744+03.5|EUVE J0744+03.5|GCRV  5161|GEN# +9.80050004|GEN# +6.10010285|G  50-4|G 112-46|GJ 285|GSC 00183-02190|1H 0743+037|HIC  37766|IRAS 07420+0340|JP11  5416|JP11  5128|JP11  5185|Karmn J07446+035|LAMOST J074440.28+033308.8|LFT  547|LHS  1943|LSPM J0744+0333|LTT 12064|2MASS J07444018+0333089|NLTT 18373|8pc 168.59|PLX 1827|PLX 1827.00|PM 07421+0341|PM J07446+0333|2RE J0744+033|2RE J074440+033329|RE J0744+033|RE J074439+033301|Ross  882|1RXS J074439.7+033245|StKM 2-468|TIC 266744225|TYC  183-2190-1|UCAC2  33030334|UCAC4 468-034923|USNO-B1.0 0935-00153510|V* YZ CMi|WDS J07447+0333A|WEB  7464|WISEA J074439.92+033304.2|Zkh 111|[FS2003] 0439|[GKL99] 172|[RHG95]  1219|Gaia DR3 3136952686035250688|Gaia DR2 3136952686035250688,[],Eruptive*,Er*,166.9769,2020yCat.1350....0G,,6.239999771,0.579999983,0,,2023AJ....166....4H,26.66,M4.0Ve,C,2015AJ....149..106D,1,GJ285
214,GJ644A,HD 152751,6.195403011,16 55 28.7575,-08 20 10.787,11,11,5,2.880000114,90,A,O,2007A&A...474..653V,,,,,,,,3441,,-0.159999996,,SUN,,2019ApJ...878..134K,11.64700031,2010MNRAS.403.1949K,,Vega,U,10.59300041,2010MNRAS.403.1949K,,Vega,B,9.022999763,2010MNRAS.403.1949K,,Vega,V,5.269999981,2003yCat.2246....0C,0.037,Vega,J,4.775000095,2003yCat.2246....0C,0.017000001,Vega,H,4.402999878,2003yCat.2246....0C,0.035999998,Vega,K,HD 152751|** LDS  573AB|** KUI   75|BD-08  4352|1C 66.01|CCDM J16555-0820AB|Ci 20 1013|CSI-08  4352  1|CSI-08  4352  4|CSI-08  4352  3|DENIS J165528.9-082007|1E 1652.7-0815|2E  3783|2E 1652.7-0815|1ES 1652-08.2|2EUVE J1655-08.3|EUVE J1655-08.3|GC 22805|GCRV  9743|GEN# +1.00152751|GJ 644 B|GJ 644 A|GJ 644|GSC 05642-01503|HIC  82817|HIP 82817|IDS 16501-0809 AB|IRAS 16527-0815|JP11  2802|Karmn J16554-083S|LFT 1310|LHS   428|LPM 623|LTT  6749|2MASS J16552880-0820103|MCC 782|NLTT 43800|PLX 3845|PM 16528-0814|PM J16554-0820|PPM 200168|2RE J165530-081936|2RE J1655-081|RE J1655-081|RE J165530-081943|1RXS J165529.3-082008|SAO 141439|SBC9 2684|SBC9 2683|SDSS J165528.46-082015.8|StKM 2-1281|TIC 181589861|TYC 5642-1503-1|UBV   14330|UBV M  21799|UCAC2  28934778|UCAC3 164-149663|UCAC4 409-067022|UGP 420|uvby98 100152751|V* V1054 Oph|VVO 249|WARPS J1655.4-0820|WDS J16555-0820AB|WEB 13999|WISEA J165528.20-082019.5|Wolf  630|YZ  98  5811|Zkh 234|Zkh 233|[FS2003] 0855|[GKL99] 335|[GKL99] 334|[RHG95]  2662|[RHG95]  2661|Gaia DR3 4339465085630200960|Gaia DR2 4339465085630200960,[],SB*,SB*,161.41,2007A&A...474..653V,,2.700000048,,0,D,2009A&A...493.1099S,14.89,M3.5Ve,C,1974ApJS...28....1J,1,GJ644A
