,Unnamed: 0,Star Name,Latex Name,distance (pc),distance error,N(HI),N(HI) uncertainty,N(HI) source,Instrument/Grating,RA,DEC,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,N(HI) uncertainty adjusted
65,140.0,GJ 341,GJ 341,10.44951734,0.00158329,18.37,0.06,Mega-MEATS,STIS/G140M,140.4066729,-60.28195278,,,,,,0.3
66,143.0,GJ 173,GJ 173,11.21443342,0.003936398,17.86,0.02,Redfieldinprep,STIS/E140M,69.42444083,-11.03888056,,,,,,0.1
67,71.0,HD 85512,HD 85512,11.27730094,0.002200171,18.43,0.125,Youngblood2016,STIS/E140M,147.7793825,-43.50278417,,,,,,0.125
68,145.0,L 802-6,L 802-6,11.49988385,0.00469478,18.39,0.33,Peacock2024inprep,STIS/G140M,44.54261833,-12.88500056,,,,,,0.33
69,29.0,zeta Dor,$\zeta$ Dor,11.69272,0.010322337,18.29,0.002,Wood2005,STIS/E140M,76.37773167,-57.47270444,,,,,,0.1
70,95.0,LHS 2686,LHS 2686,12.18928002,0.004561361,17.34,0.13,Wilson2025,STIS/G140M,197.5526217,47.75518694,,,,,,0.3
71,58.0,HR 1925,HR 1925,12.27013437,0.003809072,18.256,0.005,Wood2005,STIS/E140M,85.33473167,53.48105778,,,,,,0.1
72,91.0,TRAPPIST-1,TRAPPIST-1,12.46691592,0.011128357,18.4,0.1,Wilson2021,STIS/G140M,346.6223683,-5.041399167,,,,,,0.3
73,149.0,GJ 1132,GJ 1132,12.6070655,0.002892674,17.49,0.62,Wilson2025,STIS/G140M,153.7157442,-47.15672,,,,,,0.62
74,72.0,HD 40307,HD 40307,12.93224409,0.00284313,18.6,0.085,Youngblood2016,STIS/E140M,88.51766875,-60.02347028,,,,,,0.1
75,30.0,Capella,Capella,13.12335958,0.079222382,18.24,0.006,Linsky1995a,GHRS/ECH-A,79.17232792,45.99799139,,,,,,0.1
76,5.0,HD 9826,HD 9826,13.47817883,0.037840049,18.07046239,0.125862748,Edelman2020,STIS/E140M,24.19933958,41.40545861,,,,,,0.125862748
77,59.0,HR 8,HR 8,13.76615975,0.005533609,18.29,0.006,Wood2005,STIS/E140M,1.653266667,29.02150333,,,,,,0.1
78,153.0,* pi.01 UMa,$\pi^1$ UMa,14.43884859,0.010111297,18.12,0.01,Wood2014,STIS/E140M,129.7987692,65.02090639,,,,,,0.1
79,154.0,HD 35296,HD 35296,14.57921471,0.022105565,17.85,0.02,Wood2014ApJ780_108,STIS/E140M,81.10609667,17.383535,,,,,,0.1
80,80.0,GJ 1214,GJ 1214,14.64158855,0.013977323,18.06,0.66,Youngblood2016,STIS/G140M,258.8288912,4.963907222,,,,,,0.66
81,98.0,GJ 163,GJ 163,15.13534785,0.003940155,18.48,0.06,Wilson2025,STIS/G140M,62.31528458,-53.37369167,,,,,,0.3
82,9.0,chi Her,$\chi$ Her,15.89754351,0.020395464,18.249,0.003,Wood2005,STIS/E140M,238.1689208,42.45151722,,,,,,0.1
83,99.0,GJ676A,GJ676A,15.97990367,0.007737327,18.24,0.02,Wilson2025,STIS/G140M,262.546685,-51.63698056,,,,,,0.3
84,60.0,HR 2225,HR 2225,16.69867246,0.005353837,17.87,0.01,Wood2005,STIS/E140M,93.43873042,-23.86193639,,,,,,0.1
85,31.0,beta Cas,$\beta$ Cas,16.78415576,0.107048995,18.13,0.05,Dring1997,GHRS/ECH-A,2.29452125,59.14978111,,,,,,0.1
86,82.0,HIP 17695,HIP 17695,16.82595235,0.008153645,17.81,0.01,Youngblood2021a,STIS/E140M,56.847255,-1.9722075,,,,,,0.1
87,61.0,HR 6748,HR 6748,17.11461314,0.011833563,18.13,0.02,Wood2005,STIS/E140M,271.5988313,-36.01978611,,,,,,0.1
88,162.0,* iot Hor,$\iota$ Hor,17.35716356,0.011538684,18.81,0.05,Amazo-Gomez2023,STIS/E140M,40.63944417,-50.80029306,,,,,,0.1
89,48.0,DX Leo,DX Leo,18.0736719,0.006729147,17.7,0.15,Wood2000a,GHRS/G160M,143.1823308,26.98852944,,,,,,0.3
90,6.0,HD 206860,HD 206860,18.13302386,0.011442468,18.3465195,0.122209912,Edelman2020,STIS/E140M,326.1305413,14.77193972,,,,,,0.122209912
91,49.0,LQ Hya,LQ Hya,18.26944508,0.008144052,19.05,0.15,Wood2000a,GHRS/G160M,143.1065346,-11.18463667,,,,,,0.3
92,84.0,pi Men,$\pi$ Men,18.28738628,0.011838769,18.51,0.02,GarciaMunoz2020,STIS/G140M,84.291195,-80.46912056,,,,,,0.3
93,10.0,V368 Cep,V368 Cep,18.94520667,0.004917216,17.95,0.1,Wood2000a,GHRS/G160M,349.8609938,79.00352028,,,,,,0.3
94,32.0,alpha Tri,$\alpha$ Tri,19.481405,0.21112983,18.33,0.07,Dring1997,GHRS/ECH-A,28.27043917,29.57881861,,,,,,0.1
95,165.0,HD 189733,HD 189733,19.77582129,0.006335547,18.48,0.08,Bourrier2020,STIS/G140M,300.1821371,22.71085361,,,,,,0.3
96,166.0,TOI-260,TOI-260,20.21194243,0.007271702,17.8,0.14,Mega-MEATS,STIS/G140M,4.77317625,-9.964852222,,,,,,0.3
97,33.0,alpha Tau,$\alpha$ Tau,20.43318349,0.321486532,18.29,0.0,Wood2024,STIS/E140M,68.9801625,16.50930222,,,,,,0.1
98,62.0,HD 203244,HD 203244,20.80624187,0.148051701,18.82,0.01,Wood2005,STIS/E140M,321.1688417,-68.22792417,,,,,,0.1
99,81.0,HIP 112312,HIP 112312,20.86732969,0.010973225,18.28,0.02,Youngblood2021a,STIS/E140M,341.2415117,-33.25048444,,,,,,0.1
100,73.0,HD 97658,HD 97658,21.56273786,0.010275432,18.45,0.115,Youngblood2016,STIS/E140M,168.6381717,25.71038611,,,,,,0.115
101,64.0,HD 116956,HD 116956,21.64919216,0.00637415,18.188,0.009,Wood2005,STIS/E140M,201.4397167,56.97049333,,,,,,0.1
102,63.0,HD 59967,HD 59967,21.75151934,0.008137812,18.536,0.008,Wood2005,STIS/E140M,112.6771321,-37.33936278,,,,,,0.1
103,65.0,HD 106516,HD 106516,22.35136343,0.404662594,18.57,0.02,Wood2005,STIS/E140M,183.7939887,-10.31239861,,,,,,0.1
104,11.0,HD 97334,HD 97334,22.69719894,0.011951778,17.82,0.01,Wood2005,STIS/E140M,168.1347929,35.81408,,,,,,0.1
105,67.0,HD 128987,HD 128987,23.731774,0.015375281,18.11,0.02,Wood2005,STIS/E140M,220.1296096,-16.20929222,,,,,,0.1
106,171.0,* alf Leo,$\alpha$ Leo,24.31315342,0.206895297,18.28,0.17,Gry2017,STIS/E140H,152.0929621,11.96720861,,,,,,0.17
107,66.0,HD 73350,HD 73350,24.35169695,0.013520518,18.163,0.009,Wood2005,STIS/E140M,129.4595571,-6.806883056,,,,,,0.1
108,172.0,Ross 451,Ross 451,24.74292105,0.008938297,18.41,0.38,Peacock2024inprep,STIS/G140M,175.0846046,67.25898972,,,,,,0.38
109,173.0,TOI-134,TOI-134,25.18174928,0.01547254,18.71,0.08,Mega-MEATS,STIS/G140M,350.0313521,-60.06517889,,,,,,0.3
110,12.0,lambda And,$\lambda$ And,25.92446647,0.079237991,18.45,0.15,Wood1996a,GHRS/ECH-A,354.3910112,46.45815111,,,,,,0.15
111,175.0,Ross 1044,Ross 1044,26.71204152,0.021762762,18.44,0.16,Schneider2019,STIS/G140M,225.8524325,3.782581111,,,,,,0.3
112,176.0,HIP 117795,HIP 117795,26.72531984,0.009570852,18.13,0.48,Peacock2024inprep,STIS/G140M,358.3326929,59.94511611,,,,,,0.48
113,178.0,TOI-776,TOI-776,27.15244195,0.01297569,18.65,0.06,Mega-MEATS,STIS/G140M,178.5766337,-37.5527325,,,,,,0.3
114,179.0,HD 64090,HD 64090,27.34736071,0.017949075,18.46,0.16,Peacock2024inprep,STIS/G140M,118.3880033,30.60507111,,,,,,0.3
115,180.0,TOI-1231,TOI-1231,27.48037901,0.012309291,18.75,0.15,Rockcliffeinprep,STIS/G140M,156.7478917,-52.46942889,,,,,,0.3
116,50.0,PW And,PW And,28.27046923,0.015584779,18.35,0.1,Wood2000a,GHRS/G160M,4.587039583,30.95614694,,,,,,0.3
117,182.0,EG UMa,EG UMa,28.6127945,0.017274401,17.5,0.3,Wilson2022,STIS/G140M,183.9337412,52.51702472,,,,,,0.3
118,185.0,HD 134440,HD 134440,29.38877231,0.014596528,18.51,0.36,Peacock2024inprep,STIS/G140M,227.5540325,-16.46292278,,,,,,0.36
119,186.0,HD 134439,HD 134439,29.39663409,0.012962431,18.83,0.11,Peacock2024inprep,STIS/G140M,227.5545304,-16.37941028,,,,,,0.3
120,97.0,GJ 3470,GJ 3470,29.39689334,0.022036522,18.07,0.09,Bourrier2018,STIS/G140M,119.7743312,15.39145444,,,,,,0.3
121,34.0,HR 1099,HR 1099,29.43054832,0.030228884,18.13,0.04,Piskunov1997,STIS/E140M,54.19704333,0.587761944,,,,,,0.1
122,35.0,beta Cet,$\beta$ Cet,29.53337271,0.139555213,18.36,0.1,Piskunov1997,GHRS/ECH-A,10.89737875,-17.98660611,,,,,,0.1
123,83.0,GJ 9827,GJ 9827,29.65185754,0.014859031,18.22,0.09,Carleo2021,STIS/G140M,351.7701567,-1.286272778,,,,,,0.3
124,188.0,HD 184499,HD 184499,31.83131947,0.016718343,18.85,0.08,Peacock2024inprep,STIS/E140M,293.3628367,33.20186639,,,,,,0.1
125,36.0,eta UMa,$\eta$ UMa,31.86743149,0.24372796,17.92331951,0.039294375,Redfield2004,GHRS/ECH-A,206.8851571,49.31326667,,,,,,0.1
126,38.0,DK UMa,DK UMa,32.09798874,0.124457934,18.051,0.002,Wood2005,STIS/E140M,143.6202475,69.83034056,,,,,,0.1
127,189.0,V* EK Dra,EK Dra,34.40434045,0.025685393,18.0,0.04,Shoda2024,STIS/E140M,219.7508767,64.29166083,,,,,,0.1
128,13.0,mu Vel,$\mu$ Vel,35.91954023,0.490281075,18.469,0.001,Wood2005,STIS/E140M,161.6924113,-49.42025667,,,,,,0.1
129,90.0,Kepler 444,Kepler 444,36.55264678,0.0167012,18.65,0.25,Bourrier2017,STIS/G140M,289.7522871,41.63460611,,,,,,0.3
130,39.0,sigma Gem,$\sigma$ Gem,36.87179676,0.416831719,18.2,0.07,Dring1997,GHRS/ECH-A,115.8280317,28.88350861,,,,,,0.1
131,193.0,HAT-P-11,HAT-P-11,37.83951505,0.015463753,18.65,0.1,BenJaffel2022,STIS/G140M,297.7093633,48.08086139,,,,,,0.3
132,102.0,K2-18,K2-18,38.09973749,0.038612293,18.16,0.39,dosSantos2020,STIS/G140M,172.5604904,7.588404167,,,,,,0.39
133,194.0,HD 19445,HD 19445,38.65376662,0.058868079,17.71,0.16,Peacock2024inprep,STIS/G140M,47.10661792,26.33094444,,,,,,0.3
134,195.0,HZ  9,HZ  9,42.75038903,0.055193394,18.08,0.3,This work,STIS/E140M,68.09898708,17.75074222,,,,,,0.3
135,196.0,DS Tuc A,DS Tuc A,44.1760504,0.029272851,18.8,0.04,dosSantosinprep,STIS/G140M,354.9145034,-69.19575215,,,,,,0.3
136,40.0,HD 28568,HD 28568,44.53787501,0.050384006,18.12,0.02,Wood2005,STIS/E140M,67.69499167,16.14868083,,,,,,0.1
137,197.0,K2-25,K2-25,44.72832018,0.061619177,18.14,0.08,Rockcliffe2021,STIS/G140M,63.27338792,15.24778278,,,,,,0.3
138,41.0,V993 Tau,V993 Tau,46.98364969,0.049447177,18.11,0.008,Wood2005,STIS/E140M,66.89954667,15.58919167,,,,,,0.1
139,200.0,HD 3167,HD 3167,47.3119704,0.041858501,18.38,0.16,Bourrier priv. comm.,STIS/G140M,8.739684167,4.381467778,,,,,,0.3
140,42.0,HD 28033,HD 28033,47.56898692,0.117213484,18.15,0.02,Wood2005,STIS/E140M,66.57707583,21.47043,,,,,,0.1
141,68.0,V471 Tau,V471 Tau,47.58981388,0.035783686,18.206,0.007,Wood2005,STIS/E140M,57.6040275,17.24650833,,,,,,0.1
142,69.0,HD 209458,HD 209458,48.14775583,0.061664289,18.37,0.02,Wood2005,STIS/E140M,330.7948863,18.88431917,,,,,,0.1
143,51.0,Speedy Mic,Speedy Mic,51.02483379,1.495730153,18.3,0.15,Wood2000a,GHRS/G160M,311.9375233,-36.59465806,,,,,,0.3
144,45.0,G191-B2B,G191-B2B,52.494265,0.154591844,18.18,0.2,Lemoine2002,STIS/E140H,76.377575,52.83108861,,,,,,0.2
145,43.0,ups Peg,$\upsilon$ Peg,53.4584975,0.387519165,18.237,0.001,Wood2005,STIS/E140M,351.3449286,23.40410081,,,,,,0.1
146,70.0,HD 32008,HD 32008,54.05376187,1.398085714,18.07,0.04,Wood2005,STIS/E140M,74.9602225,-10.26331,,,,,,0.1
147,212.0,HD 194598,HD 194598,54.23228773,0.066175676,17.96,0.33,Peacock2024inprep,STIS/G140M,306.5496596,9.450119167,,,,,,0.33
148,,alpha Tuc,$\alpha$ Tuc,56.39394555,1.046311164,18.79,0.0,Wood2024,STIS/E140M,334.6254685,-60.25962954,,,,,,0.1
149,,sigma Pup,$\sigma$ Pup,58.74267185,1.93722382,18.87,0.0,Wood2024,STIS/E140M,112.307636,-43.30143539,,,,,,0.1
150,222.0,K2-136,K2-136,58.88657268,0.065538176,18.26,0.4,Bourrier priv. comm.,STIS/G140M,67.41247458,22.88272028,,,,,,0.4
151,37.0,HZ 43,HZ 43,59.67975842,0.26213918,17.93,0.06,Kruk2002,GHRS/ECH-A,199.0910538,29.09872583,,,,,,0.1
152,44.0,iota Cap,$\iota$ Cap,61.71011058,0.642813638,18.698,0.001,Wood2005,STIS/E140M,320.5616496,-16.83454389,,,,,,0.1
153,229.0,HIP 116454,HIP 116454,62.61897605,0.095675721,17.92,0.09,Bourrier priv. comm.,STIS/G140M,353.9553542,0.445512222,,,,,,0.3
154,,TOI-178,TOI-178,62.89308176,0.121830624,18.6,0.29,Mega-MEATS,STIS/G140M,7.301262164,-30.45374079,,,,,,0.3
155,232.0,WASP-107,WASP-107,64.40103814,0.107834839,17.54,0.64,Bourrier priv. comm.,STIS/G140M,188.3868504,-10.14617361,,,,,,0.64
156,236.0,GD 153,GD 153,68.52600562,0.177032172,17.95,0.03,Redfield2004,STIS/E140H,194.2596767,22.03128722,,,,,,0.1
157,53.0,GD 246,GD 246,75.1738395,0.272383317,19.11,0.05,Oliveira2003,STIS/E140M,348.0900658,10.78451583,,,,,,0.1
158,242.0,HD 149026,HD 149026,76.21776941,0.094108206,18.69,0.2,Behr2023,STIS/G140M,247.6234104,38.34730778,,,,,,0.3
159,52.0,Feige 24,Feige 24,77.71396598,0.219232415,18.47,0.03,Vennes2000,STIS/E140M,38.78164125,3.732448889,,,,,,0.1
160,,HR 3145,HR 3145,79.85051983,0.72815125,18.56,0.0,Wood2024,STIS/E140M,120.5664038,2.3345719,,,,,,0.1
161,,theta CMa,$\theta$ CMa,82.86651861,0.901618706,17.97,0.0,Wood2024,STIS/E140M,103.5474953,-12.0386281,,,,,,0.1
162,46.0,31 Com,31 Com,84.41169271,0.707545632,17.88,0.06,Dring1997,GHRS/ECH-A,192.9246671,27.5407125,,,,,,0.1
163,101.0,WASP-29,WASP-29,87.45157369,0.115481447,18.55,0.04,dosSantos2021,STIS/G140M,357.8795163,-39.90673833,,,,,,0.3
164,,HR 3980,HR 3980,90.7366912,1.367525738,19.53,0.0,Wood2024,STIS/E140M,151.9761255,9.99750687,,,,,,0.1
165,240.0,Ross 825,Ross 825,98.26151311,0.180966801,19.22,0.15,Schneider2019,STIS/G140M,317.8210654,33.52424722,,,,,,0.3
